Cognitohazard Reflection,wdeaqqdqeedqadqeedqaeadeaqqeadeaqqdqdeaqqeaeedqaw
Debugger's Reflection,qqqqqewaa
Debug Locator's Reflection,dedqdeqwaa
Set Breakpoint Before,awqdeew
Set Breakpoint After,wqqaewd
Craft Debugger,aaewwwwwaqwawqwadawqwwwawwwqwwwaw
Splicer's Decomposition,wqaeaqweeeedq
Splicer's Gambit,wedqdewqqqqae
Sprocket's Purification,wqaeaqwdwaqaw
Sprocket's Gambit,wedqdewawdedw
Projectionist's Purification,wqaeaqwedqddq
Projectionist's Gambit,wedqdewqaeaae
Shutter's Purification,wqaeaqwedqddqw
Compositor's Purification,wqaeaqweeeedw
Compositor's Gambit,wedqdewqqqqaw
Producer's Purification,wqaeaqweeeedww
Director's Purification,wedqdewqqqqaww
Projectionist's Purification II,wqaeaqwdeaaea
Projectionist's Gambit II,wedqdewaqddqd
Shutter's Purification II,wqaeaqwdeaaeae
Mindsplice Purification,wqaeaqwqqqwqwqqwq
Imbue Mindsplice Table,wqaeaqwqqqwqwqqwwqqeaeqqeqqeaeqqw
