Transition: Feminine,qqqqqewdedw
Transition: Masculine,eeeeeqwaqaeaq
Transition: Non-binary,eeeeeqqedqde
Gender Identity Prfn.,qqqqqeeqqqq
Oncologist's Purification,wqqqdqqqw
Oncologist's Gambit,wqqqdqqqwqaedea
Gainax Purification,awewaawew
Gainax Gambit,dwqwddwqw
Lindhal's Purification,qeqqqdqqqeqaqdwwdq
Lindhal's Gambit,eawwaedeqeeeaeeeqe
Hookean Purification,wqqqwaawqqqw
Hookean Gambit,wqqqqddqqqqw
Cleavage Purification,wqqqeeqqqw
Cleavage Gambit,weeeqqeeew
Liposuction Purification,wawqqqeqdqqqwaw
Liposuction Gambit,eeewdwqqwwdweee
Symmastia Purification,wqqwwqqw
Symmastia Gambit,weewweew
